item_id,vendor_name,title,description,price_cents,calories,calories_confidence,calories_source,model_pred_calories,annotated_calories,accept,notes
3264c85c-176,swad gomantak,Bangada Tawa Fry,,250,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-177,swad gomantak,Surmai Rava Fry,,690,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-178,swad gomantak,Pomfret Rava Fry,,630,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-179,swad gomantak,Prawns Rava Fry,,600,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-180,swad gomantak,Bombil Rava Fry,,390,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-181,swad gomantak,Mandeli Rava Fry,,260,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-182,swad gomantak,Bangda Rava Fry,,490,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-183,swad gomantak,Crab Masala,,590,216.15593958455543,0.7,model_regressor,216.15593958455543,,,
3264c85c-184,swad gomantak,Crab Sukka,,590,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-185,swad gomantak,Crab Konkan Curry,,590,189.56055133016685,0.7,model_regressor,189.56055133016685,,,
3264c85c-186,swad gomantak,Crab Curry,,510,189.56055133016685,0.7,model_regressor,189.56055133016685,,,
3264c85c-187,swad gomantak,Solkadi,,70,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-188,swad gomantak,Kokum Sharbat,,40,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-189,swad gomantak,Mirgund Papad,,35,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-190,swad gomantak,Roasted Papad,,20,251.78360965739108,0.7,model_regressor,251.78360965739108,,,
3264c85c-191,swad gomantak,Paneer 65 [8 Piece],,310,261.9464504814424,0.7,model_regressor,261.9464504814424,,,
3264c85c-192,swad gomantak,Paneer Chilly [8 Piece],,310,245.39464660877871,0.7,model_regressor,245.39464660877871,,,
3264c85c-193,swad gomantak,Surmai Fry [1 Pieces] With Prawns Curry & Steamed Rice,,699,215.7126828873808,0.7,model_regressor,215.7126828873808,,,
3264c85c-194,swad gomantak,Chicken Thali With Prawns Fry,,670,238.9530793112242,0.7,model_regressor,238.9530793112242,,,
3264c85c-195,swad gomantak,Chicken Thali With Surmai Fry,,670,238.9530793112242,0.7,model_regressor,238.9530793112242,,,
3264c85c-196,swad gomantak,Pomfret Fry With Prawns Curry & Steamed Rice,,599,209.74025726967608,0.7,model_regressor,209.74025726967608,,,
3264c85c-197,swad gomantak,Prawns Fry With Prawns Curry & Steamed Rice,,750,209.74025726967608,0.7,model_regressor,209.74025726967608,,,
3264c85c-198,swad gomantak,Bangda Fry With Prawns Curry & Steamed Rice,,490,209.74025726967608,0.7,model_regressor,209.74025726967608,,,
3264c85c-199,swad gomantak,Bombil Fry With Prawns Curry & Steamed Rice,,400,209.74025726967608,0.7,model_regressor,209.74025726967608,,,
3264c85c-200,swad gomantak,Chicken Thali With Bangda Fry,,580,238.9530793112242,0.7,model_regressor,238.9530793112242,,,
3264c85c-201,swad gomantak,Chicken Thali With Bombil Fry,,580,238.9530793112242,0.7,model_regressor,238.9530793112242,,,
3264c85c-202,swad gomantak,Kolambi Bhaat,,550,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
3264c85c-203,swad gomantak,Prawns Biryani,,599,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-204,swad gomantak,Mutton Biryani,,590,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-205,swad gomantak,Fish Biryani,,699,237.00106738505528,0.7,model_regressor,237.00106738505528,,,
3264c85c-206,swad gomantak,Chicken Biryani,,450,186.62890785880268,0.7,model_regressor,186.62890785880268,,,
3264c85c-207,swad gomantak,Egg Biryani,,350,184.02625647483077,0.7,model_regressor,184.02625647483077,,,
3264c85c-208,swad gomantak,Veg Biryani,,290,219.081628038072,0.7,model_regressor,219.081628038072,,,
3264c85c-209,swad gomantak,Dal Khichdi,,250,129.2481151929424,0.7,model_regressor,129.2481151929424,,,
3264c85c-210,swad gomantak,Jeera Rice,,110,208.6301268408624,0.7,model_regressor,208.6301268408624,,,
3264c85c-211,swad gomantak,Plain Rice,,89,208.6301268408624,0.7,model_regressor,208.6301268408624,,,
3264c85c-212,swad gomantak,Paneer Biryani,,300,238.89055290636676,0.7,model_regressor,238.89055290636676,,,
3264c85c-213,swad gomantak,Surmai Chatpata Biryani,,599,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-214,swad gomantak,Crab Lahsuni Biryani,,599,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-215,swad gomantak,Pomfret Fry Biryani,,599,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-216,swad gomantak,Mutton Kolhapuri Biryani,,550,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-217,swad gomantak,Chicken Kolhapuri Biryani,,350,190.04031986127225,0.7,model_regressor,190.04031986127225,,,
3264c85c-218,swad gomantak,Bangda Fry Masala Biryani,,450,194.88511362487617,0.7,model_regressor,194.88511362487617,,,
3264c85c-219,swad gomantak,Veg Kolhapuri Biryani,,300,219.081628038072,0.7,model_regressor,219.081628038072,,,
3264c85c-220,swad gomantak,Crab Lasuni Biryani,,599,206.7983617084244,0.7,model_regressor,206.7983617084244,,,
3264c85c-221,swad gomantak,Chicken Lasooni Tadka [6 Pieces](soup),,330,206.55548167708068,0.7,model_regressor,206.55548167708068,,,
3264c85c-222,swad gomantak,Chicken Chilli,,300,199.4532884713104,0.7,model_regressor,199.4532884713104,,,
3264c85c-223,swad gomantak,Crab Soup,,280,231.9229926582528,0.7,model_regressor,231.9229926582528,,,
