vendor_name,item_id,title,price_cents,calories,calories_rounded,model_pred_calories,model_pred_rounded,calories_source,confidence_label,final_confidence
swad gomantak,3264c85c-180,Bombil Rava Fry,390,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-181,Mandeli Rava Fry,260,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-182,Bangda Rava Fry,490,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-183,Crab Masala,590,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-184,Crab Sukka,590,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-185,Crab Konkan Curry,590,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-186,Crab Curry,510,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-187,Solkadi,70,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-188,Kokum Sharbat,40,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-189,Mirgund Papad,35,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-190,Roasted Papad,20,251.78360965739108,252,251.78360965739108,252,manual_review,high,1.0
swad gomantak,3264c85c-191,Paneer 65 [8 Piece],310,261.9464504814424,262,261.9464504814424,262,manual_review,high,1.0
swad gomantak,3264c85c-192,Paneer Chilly [8 Piece],310,245.39464660877871,245,245.39464660877871,245,manual_review,high,1.0
swad gomantak,3264c85c-193,Surmai Fry [1 Pieces] With Prawns Curry & Steamed Rice,699,215.7126828873808,216,215.7126828873808,216,manual_review,high,1.0
swad gomantak,3264c85c-194,Chicken Thali With Prawns Fry,670,238.9530793112242,239,238.9530793112242,239,manual_review,high,1.0
swad gomantak,3264c85c-195,Chicken Thali With Surmai Fry,670,238.9530793112242,239,238.9530793112242,239,manual_review,high,1.0
